year,points,npoints
1984,2925,2925
1985,2917,5842
1986,2917,8759
1987,2917,11676
1988,2925,14601
1989,2917,17518
1990,2917,20435
1991,2917,23352
1992,2921,26273
1993,2917,29190
1994,2917,32107
1995,2917,35024
1996,2917,37941
1997,2917,40858
1998,2917,43775
1999,2917,46692
2000,2925,49617
2001,2914,52531
2002,2917,55448
2003,2917,58365
2004,2925,61290
2005,2917,64207
