YEAR,Time points
1984,2925
1985,2917
1986,2917
1987,2917
1988,2925
1989,2917
1990,2917
1991,2917
1992,2921
1993,2917
1994,2917
1995,2917
1996,2917
1997,2917
1998,2917
1999,2917
2000,2925
2001,2914
2002,2917
2003,2917
2004,2925
2005,2917
